product_id,normalized_text,previous_final_candidate_mnn,new_final_candidate_mnn,previous_final_mnn_method,new_final_mnn_method,previous_status,new_status,identity_gate_effect,rejected_source_count,reason
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,Тамоксифен,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,4,empty
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Осельтамивир,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
5287,"ТАДАЛАФИЛ-ТЕВА ТАБЛ. П/ПЛЕН/ОБ. 20МГ №8 | ТЕВА ФАРМА, С.Л.У. | ТЕВА ФАРМА, С.Л.У.",Тадалафил,Тадалафил,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,3,single_source
5322,"ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК) ТРАВА Ф/П 1,5Г №20 ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО",,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,2,empty
5634,СТРЕПТОЦИД ПОР. Д/НАРУЖ. ПРИМ. 2Г ПАК. №50 ОЗОН | ОЗОН ООО | ОЗОН ООО,Сульфаниламид,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
5729,СТОМАТОФИТ ФРЕШ ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА ФЛ. 250МЛ | Фитофарм кленка АО | Фитофарм кленка АО,"Ромашки Аптечной Цветки, Дуба Кора, Шалфея Лекарственного Листья, Арники Трава, Аира Обыкновенного Корневища, Мяты Перечной Трава, Тимьяна Трава","Ромашки Аптечной Цветки, Дуба Кора, Шалфея Лекарственного Листья, Арники Трава, Аира Обыкновенного Корневища, Мяты Перечной Трава, Тимьяна Трава",enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,1,empty
5736,СТИМУЛОТОН ТАБЛ. П/ПЛЕН/ОБ. 100МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,Сертралин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
6506,СИРОП ШИПОВНИКА ФЛ. 250МЛ МИРРОЛЛА | МИРРОЛЛА ООО | МИРРОЛЛА ООО,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,2,empty
6592,СИНЕКОД КАПЛИ Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 5МГ/МЛ ФЛ. 20МЛ | ГКС КОНСЬЮМЕР ХЕЛС С.А. | ГКС КОНСЬЮМЕР ХЕЛС С.А.,Бутамират,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
6593,СИНДРАНОЛ ТАБЛ. ПРОЛОНГ. П/ПЛЕН/ОБ. 8МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А. | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А.,Ропинирол,Ропинирол,enrichment,enrichment,unresolved_catalog,resolved_enrichment,unchanged,0,single_source
6743,СИЛДЕНАФИЛ ТАБЛ. П/ПЛЕН/ОБ. 100МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Силденафил,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Ацетилсалициловая кислота,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
7625,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,Инсулин человеческий,Инсулин человеческий,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,2,single_source
7651,РОМАШКИ АПТЕЧНОЙ ЦВЕТКИ 50Г ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО,Ромашки аптечной цветки,Ромашки аптечной цветки,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,1,empty
7803,РОЗУВАСТАТИН-ТАД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | Крка-Рус ООО | Крка-Рус ООО,Розувастатин,Розувастатин,catalog_consensus,input_explicit_mnn,resolved_catalog,resolved_input_explicit,catalog_accept_removed,2,single_source
7807,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 5МГ №30 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Розувастатин,Розувастатин,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,3,empty
7816,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,Розувастатин,Розувастатин,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,3,single_source
7858,РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Розувастатин,Розувастатин,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,3,empty
8055,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,"Бримонидин, Тимолол","Бримонидин, Тимолол",enrichment,enrichment,unresolved_catalog,resolved_enrichment,unchanged,0,empty
8201,РЕПЕШОК ОБЫКНОВЕННЫЙ ТРАВА 50Г ЭВАЛАР | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,3,empty
8374,РЕДЕЦИЛ МАЗЬ Д/НАРУЖ. ПРИМ. ТУБА 35Г | РЕТИНОИДЫ АО | РЕТИНОИДЫ АО,"Диоксометилтетрагидропиримидин, Ретинол",,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
8414,РЕБАМИПИД ТАБЛ. П/ПЛЕН/ОБ. 100МГ №90 | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ,Ребамипид,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
8566,РАБИЕТ КАПС. КИШ/РАСТ. 20МГ №14 АЛИУМ | АЛИУМ АО | АЛИУМ АО,Рабепразол,Рабепразол,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,3,empty
8753,ПРОСТАНОРМ ЭКСТРАКТ Д/ПРИЕМА ВНУТРЬ ЖИДК. ФЛ. 100МЛ | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,3,empty
8788,ПРОПИЦИЛ ТАБЛ. 50МГ №20 | ХАУПТ ФАРМА МЮНСТЕР ГМБХ | ХАУПТ ФАРМА МЮНСТЕР ГМБХ,Пропилтиоурацил,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
9096,"ПРЕДНИЗОЛОН МАЗЬ Д/НАРУЖ. ПРИМ. 0,5% ТУБА 15Г БИОСИНТЕЗ | БИОСИНТЕЗ ПАО | БИОСИНТЕЗ ПАО",Преднизолон,Преднизолон,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,4,empty
9197,ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,2,empty
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни горькой трава,Полыни горькой трава,enrichment,enrichment,unresolved_catalog,resolved_enrichment,unchanged,0,empty
9306,ПОЛИФЕПАН ПОР. Д/ПРИЕМА ВНУТРЬ ПАК. 10Г №10 | ВОСТОК ООО | ВОСТОК ООО,Лигнин гидролизный,Лигнин гидролизный,enrichment,enrichment,unresolved_catalog,resolved_enrichment,unchanged,0,empty
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Пиона уклоняющегося травы, корневищ и корней настойка","Пиона уклоняющегося травы, корневищ и корней настойка",enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,3,empty
9539,"ПИКОДИНАР КАПЛИ Д/ПРИЕМА ВНУТРЬ 7,5МГ/МЛ ФЛ. 15МЛ | ГРОТЕКС ООО | ГРОТЕКС ООО",Натрия пикосульфат,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
9941,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,0,empty
9993,ПАРАЦЕТАМОЛ ТАБЛ. 500МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Парацетамол,Парацетамол,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,0,single_source
9996,ПАРАЦЕТАМОЛ СУСП. Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 120МГ/5МЛ ФЛ. 100МЛ СИНТЕЗ | СИНТЕЗ | СИНТЕЗ,Парацетамол,Парацетамол,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,0,empty
10005,ПАРАЦЕТАМОЛ РЕНЕВАЛ ТАБЛ. 500МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Парацетамол,Парацетамол,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,4,empty
10009,ПАРАЦЕТАМОЛ ДЕТСКИЙ СУСП. Д/ПРИЕМА ВНУТРЬ МАЛИНА 120МГ/5МЛ ФЛ. 100Г ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Парацетамол,Парацетамол,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,0,empty
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Папаверин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
10097,ПАНТОКАЛЬЦИН ТАБЛ. 500МГ №50 | ВАЛЕНТА ФАРМ АО | ВАЛЕНТА ФАРМ АО,Гопантеновая кислота,Гопантеновая кислота,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,2,empty
