normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
СТРЕПТОЦИД ПОР. Д/НАРУЖ. ПРИМ. 2Г ПАК. №50 ОЗОН | ОЗОН ООО | ОЗОН ООО,Сульфаниламид,otc,Сульфаниламид,otc,,,,,Сульфаниламид,otc,,,Сульфаниламид,otc
СТОМАТОФИТ ФРЕШ ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА ФЛ. 250МЛ | Фитофарм кленка АО | Фитофарм кленка АО,,otc,,,,,,,,,,,,
СТИМУЛОТОН ТАБЛ. П/ПЛЕН/ОБ. 100МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,сертралин,rx,Сертралин,rx,Сертралин,rx,Сертралин,,Сертралин,rx,,,Сертралин,rx
СИРОП ШИПОВНИКА ФЛ. 250МЛ МИРРОЛЛА | МИРРОЛЛА ООО | МИРРОЛЛА ООО,,otc,,,,otc,,,,,,,,
СИНЕКОД КАПЛИ Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 5МГ/МЛ ФЛ. 20МЛ | ГКС КОНСЬЮМЕР ХЕЛС С.А. | ГКС КОНСЬЮМЕР ХЕЛС С.А.,Бутамират,Без рецепта,Бутамират,otc,Бутамират,otc,Бутамират,,Бутамират,otc,,,Бутамират,otc
СИНДРАНОЛ ТАБЛ. ПРОЛОНГ. П/ПЛЕН/ОБ. 8МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А. | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А.,,rx,Ропинирол,rx,,,,,,,,,Ропинирол,
СИЛДЕНАФИЛ ТАБЛ. П/ПЛЕН/ОБ. 100МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Силденафил,rx,Силденафил,rx,,,Силденафил,rx,,,,,Силденафил,rx
САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,,,Ацетилсалициловая кислота,otc,Ацетилсалициловая кислота,otc,Ацетилсалициловая кислота,,Магния гидроксид,otc,,,Ацетилсалициловая кислота,otc
РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,Инсулин человеческий,rx,Инсулин растворимый [человеческий генно-инженерный],rx,Инсулин гларгин,rx,Инсулин-изофан человеческий генно-инженерный,rx,Инсулин аспарт,rx,,,,rx
РОМАШКИ АПТЕЧНОЙ ЦВЕТКИ 50Г ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО,,otc,,,Ромашки аптечной цветки,otc,,,,,,,Ромашки аптечной цветки,
РОЗУВАСТАТИН-ТАД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | Крка-Рус ООО | Крка-Рус ООО,Розувастатин,rx,Розувастатин,rx,Розувастатин,rx,,,,,,,Розувастатин,rx
РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 5МГ №30 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Розувастатин,rx,Эналаприл,rx,Валсартан,rx,Атенолол,rx,,,,,,rx
РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,Розувастатин,rx,,,Омепразол,rx,Добутамин,rx,Глицин,otc,,,,rx
РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Розувастатин,rx,Пропранолол,rx,Натрия хлорид,rx,Рамиприл,rx,Розувастатин,rx,,,,rx
РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,,rx,,,,,,,Тимолол,rx,,,Тимолол,
РЕПЕШОК ОБЫКНОВЕННЫЙ ТРАВА 50Г ЭВАЛАР | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,,otc,,,Гинкго двулопастного листьев экстракт,otc,,,Общетонизирующие препараты,otc,,,,otc
РЕДЕЦИЛ МАЗЬ Д/НАРУЖ. ПРИМ. ТУБА 35Г | РЕТИНОИДЫ АО | РЕТИНОИДЫ АО,,,Диоксометилтетрагидропиримидин + Ретинол,otc,,,,,Диоксометилтетрагидропиримидин,otc,,,"Диоксометилтетрагидропиримидин, Ретинол",otc
РЕБАМИПИД ТАБЛ. П/ПЛЕН/ОБ. 100МГ №90 | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ,Ребамипид,rx,Ребамипид,rx,,,Ребамипид,rx,,,,,Ребамипид,rx
РАБИЕТ КАПС. КИШ/РАСТ. 20МГ №14 АЛИУМ | АЛИУМ АО | АЛИУМ АО,,,Ацикловир,rx,Ривароксабан,rx,Ацикловир,rx,Албендазол,rx,,,Ацикловир,rx
ПРОСТАНОРМ ЭКСТРАКТ Д/ПРИЕМА ВНУТРЬ ЖИДК. ФЛ. 100МЛ | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО,,otc,Зверобоя продырявленного трава +Золотарника канадского трава+Солодки корни+Эхинацеи пурпурной корневища с корнями,otc,,otc,,,,otc,,,"Зверобоя продырявленного трава, Золотарника канадского трава, Солодки корни, Эхинацеи пурпурной корневища с корнями",otc
ПРОПИЦИЛ ТАБЛ. 50МГ №20 | ХАУПТ ФАРМА МЮНСТЕР ГМБХ | ХАУПТ ФАРМА МЮНСТЕР ГМБХ,Пропилтиоурацил,rx,Пропилтиоурацил,rx,,,,,Пропилтиоурацил,rx,,,Пропилтиоурацил,rx
"ПРЕДНИЗОЛОН МАЗЬ Д/НАРУЖ. ПРИМ. 0,5% ТУБА 15Г БИОСИНТЕЗ | БИОСИНТЕЗ ПАО | БИОСИНТЕЗ ПАО",Преднизолон,rx,,,Гризеофульвин,rx,Тетрациклин,rx,Каптоприл,rx,,,,rx
ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,,otc,,,,otc,,,,,,,,
ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни горькой трава,otc,,,,,,,,,,,,
ПОЛИФЕПАН ПОР. Д/ПРИЕМА ВНУТРЬ ПАК. 10Г №10 | ВОСТОК ООО | ВОСТОК ООО,,,,,,,,,,,,,,
