product_id,normalized_text,baseline_attr_mnn,input_explicit_mnn,input_explicit_mnn_confidence,identity_gate_status,previous_catalog_mnn,previous_enrichment_mnn,previous_enrichment_status,pass_action,new_enrichment_called,new_enrichment_status,retry_count,new_mnn_enriched,new_rx_otc_enriched,new_age_enriched,final_candidate_mnn,final_mnn_method,needs_human_review,evidence_urls,research_summary,raw_artifact_path,identity_enrichment_run_id
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,,none,resolved_enrichment,,"Пиона уклоняющегося травы, корневищ и корней настойка",ok,reuse_existing_enrichment,false,,0,,,,"Пиона уклоняющегося травы, корневищ и корней настойка",enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
9993,ПАРАЦЕТАМОЛ ТАБЛ. 500МГ №10 ОЗОН | ОЗОН ООО | ОЗОН ООО,Парацетамол,Парацетамол,high,resolved_enrichment,,Парацетамол,ok,reuse_existing_enrichment,false,,0,,,,Парацетамол,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
9996,ПАРАЦЕТАМОЛ СУСП. Д/ПРИЕМА ВНУТРЬ ДЛЯ ДЕТЕЙ 120МГ/5МЛ ФЛ. 100МЛ СИНТЕЗ | СИНТЕЗ | СИНТЕЗ,Парацетамол,Парацетамол,high,resolved_enrichment,,Парацетамол,ok,reuse_existing_enrichment,false,,0,,,,Парацетамол,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
10005,ПАРАЦЕТАМОЛ РЕНЕВАЛ ТАБЛ. 500МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Парацетамол,Парацетамол,high,resolved_enrichment,,Парацетамол,ok,reuse_existing_enrichment,false,,0,,,,Парацетамол,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
10009,ПАРАЦЕТАМОЛ ДЕТСКИЙ СУСП. Д/ПРИЕМА ВНУТРЬ МАЛИНА 120МГ/5МЛ ФЛ. 100Г ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Парацетамол,Парацетамол,high,resolved_enrichment,,Парацетамол,ok,reuse_existing_enrichment,false,,0,,,,Парацетамол,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
10097,ПАНТОКАЛЬЦИН ТАБЛ. 500МГ №50 | ВАЛЕНТА ФАРМ АО | ВАЛЕНТА ФАРМ АО,,,none,resolved_enrichment,,Гопантеновая кислота,ok,reuse_existing_enrichment,false,,0,,,,Гопантеновая кислота,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Омепразол,Омепразол,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Омепразол,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
12495,МУКОСАТ МАЗЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 30Г | ЗЕЛЕНАЯ ДУБРАВА ЗАО | ЗЕЛЕНАЯ ДУБРАВА ЗАО,,,none,resolved_enrichment,,Хондроитина Сульфат Натрия,ok,reuse_existing_enrichment,false,,0,,,,Хондроитина Сульфат Натрия,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
13533,МЕЛЬДОНИЙ КАПС. 500МГ №60 ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Мельдоний,Мельдоний,high,resolved_enrichment,,Мельдоний,ok,reuse_existing_enrichment,false,,0,,,,Мельдоний,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
13616,"МЕЛИССЫ ЛЕКАРСТВЕННОЙ ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Мелиссы лекарственной трава,,none,resolved_enrichment,,Melissae officinalis herba,ok,reuse_existing_enrichment,false,,0,,,,Melissae officinalis herba,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
15062,ЛИЗИНОПРИЛ-ТЕВА ТАБЛ. 10МГ №30 Р-ФАРМ | Р-ФАРМ НОВОСЕЛКИ ООО | Р-ФАРМ НОВОСЕЛКИ ООО,Лизиноприл,Лизиноприл,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Лизиноприл,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
15070,ЛИЗИНОПРИЛ ТАБЛ. 5МГ №30 БИОХИМИК | БИОХИМИК АО | БИОХИМИК АО,Лизиноприл,Лизиноприл,high,resolved_enrichment,,Лизиноприл,ok,reuse_existing_enrichment,false,,0,,,,Лизиноприл,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
15076,ЛИЗИНОПРИЛ ТАБЛ. 20МГ №20 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Лизиноприл,Лизиноприл,high,resolved_enrichment,,Лизиноприл,ok,reuse_existing_enrichment,false,,0,,,,Лизиноприл,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
15150,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Лидокаин,Лидокаин,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Лидокаин,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
16485,КРУШИНЫ КОРА Ф/П 2Г №20 ФИТО-БОТ | ФИТО-БОТ ФИРМА ООО | ФИТО-БОТ ФИРМА ООО,,,none,resolved_enrichment,,Крушины ольховидной кора,ok,reuse_existing_enrichment,false,,0,,,,Крушины ольховидной кора,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
17516,КЛАРИТРОМИЦИН-OBL ТАБЛ. П/ПЛЕН/ОБ. 500МГ №7 АЛИУМ | АЛИУМ АО | АЛИУМ АО,Кларитромицин,,none,resolved_enrichment,,Кларитромицин,ok,reuse_existing_enrichment,false,,0,,,,Кларитромицин,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
18125,КАНДЕСАРТАН ТАБЛ. 16МГ №28 БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ,Кандесартан,,none,resolved_enrichment,,Кандесартан,ok,reuse_existing_enrichment,false,,0,,,,Кандесартан,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
18306,КАЛЕНДУЛЫ НАСТОЙКА ФЛ. 25МЛ ИВАНОВСКАЯ ФФ | ИВАНОВСКАЯ ФФ | ИВАНОВСКАЯ ФФ,Календулы лекарственной цветков настойка,,none,resolved_enrichment,,Календулы лекарственной цветков настойка,ok,reuse_existing_enrichment,false,,0,,,,Календулы лекарственной цветков настойка,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,Йод,,none,resolved_enrichment,,Йод,ok,reuse_existing_enrichment,false,,0,,,,Йод,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
18418,ЙОВИДОКС МАЗЬ Д/НАРУЖ. ПРИМ. 10% ТУБА 20Г | Тульская фармацевтическая фабрика ООО | Тульская фармацевтическая фабрика ООО,,,none,resolved_enrichment,,Повидон-йод,ok,reuse_existing_enrichment,false,,0,,,,Повидон-йод,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
18473,ИТОПРИД ВЕЛФАРМ ТАБЛ. П/ПЛЕН/ОБ. 50МГ №40 | ВЕЛФАРМ ООО | ВЕЛФАРМ ООО,Итоприд,,none,resolved_enrichment,,Итоприд,ok,reuse_existing_enrichment,false,,0,,,,Итоприд,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
